id,tag_id,draft_id,created_at,updated_at
240,113,14,0000-00-00 00:00:00,0000-00-00 00:00:00
241,44,15,0000-00-00 00:00:00,0000-00-00 00:00:00
242,124,15,0000-00-00 00:00:00,0000-00-00 00:00:00
243,39,15,0000-00-00 00:00:00,0000-00-00 00:00:00
281,39,21,0000-00-00 00:00:00,0000-00-00 00:00:00
311,129,23,0000-00-00 00:00:00,0000-00-00 00:00:00
312,130,23,0000-00-00 00:00:00,0000-00-00 00:00:00
315,11,24,0000-00-00 00:00:00,0000-00-00 00:00:00
316,39,25,0000-00-00 00:00:00,0000-00-00 00:00:00
508,39,30,0000-00-00 00:00:00,0000-00-00 00:00:00
509,38,30,0000-00-00 00:00:00,0000-00-00 00:00:00
926,70,35,0000-00-00 00:00:00,0000-00-00 00:00:00
927,136,35,0000-00-00 00:00:00,0000-00-00 00:00:00
1913,70,105,0000-00-00 00:00:00,0000-00-00 00:00:00
